Id,Quality
222,5
1514,6
417,5
754,5
516,6
1120,7
180,5
82,5
632,6
592,5
501,7
1586,7
1096,6
1101,6
1488,5
700,5
631,6
1022,5
1420,5
882,7
1170,8
911,6
124,5
1417,7
681,5
63,5
1010,7
418,6
399,5
1265,6
999,6
452,6
347,7
778,6
607,5
32,5
511,6
1035,6
1270,6
723,5
838,7
485,6
142,6
1470,5
1238,5
158,5
426,5
344,6
637,5
1578,6
944,7
469,5
148,6
279,7
1144,6
509,6
1073,6
1423,6
280,6
848,5
650,5
1092,6
76,6
1302,7
1148,6
100,5
533,6
1328,5
253,5
1344,5
544,6
352,5
1367,5
1300,6
635,5
750,5
1479,5
476,6
1355,5
546,6
196,5
1210,6
43,6
1013,5
1378,5
471,6
1410,5
1004,5
740,6
697,6
127,5
1069,6
1319,5
741,5
626,5
621,5
1195,5
339,6
556,5
162,5
1555,6
695,6
457,5
1045,6
12,5
524,5
489,6
453,6
1282,6
423,7
290,6
744,5
435,5
955,6
1055,5
819,5
302,6
455,6
1274,5
710,5
1568,5
72,5
156,5
86,6
1252,5
1280,5
1130,5
1499,6
1434,5
564,6
1559,5
396,5
1081,7
293,6
652,7
1312,5
120,5
220,5
1391,5
1324,6
492,7
427,5
596,5
771,5
538,6
107,5
1436,5
193,5
1370,5
843,5
506,7
388,5
197,6
655,5
1508,6
799,5
194,5
1414,5
1059,7
1487,6
565,5
1333,5
1250,6
871,6
421,7
1336,5
1224,6
813,6
249,6
721,5
1026,6
781,6
808,5
809,5
111,5
766,5
1070,7
497,6
292,6
1529,5
1060,6
56,5
42,6
1535,5
190,5
79,5
1219,7
1384,5
269,6
833,6
1379,6
551,6
947,7
3,5
934,6
749,6
1553,5
1036,6
1107,7
1168,6
1577,6
1291,6
578,5
85,5
1089,7
366,7
90,5
752,5
1590,6
617,6
146,5
241,6
790,6
1116,6
392,5
770,6
395,6
306,5
416,7
512,5
729,6
1415,6
677,5
793,5
94,5
466,6
96,5
325,6
1359,6
16,6
1076,8
900,7
1556,4
1057,5
877,6
953,6
1400,5
1127,6
260,5
608,5
1549,6
376,6
1048,6
1485,5
1471,5
1110,6
1493,5
1019,6
1078,6
1152,5
1395,5
1277,5
1321,6
1234,6
412,5
1111,6
335,6
1526,6
2,6
6,5
1281,5
745,6
1008,7
298,6
415,5
736,5
679,6
1220,6
439,5
989,6
500,6
1053,7
611,5
1335,6
595,5
361,6
35,5
1237,6
67,5
155,5
80,5
1147,6
296,5
170,5
1439,5
946,7
